index,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
257,1996,Alabama,17.6%,4.8%,21.5%,56.1%,"Alabama
(32.840569999605975, -86.63186000013877)"
258,2001,North Carolina,21.3%,4.5%,23.8%,50.4%,"North Carolina
(35.46624999963797, -79.1593199999179)"
259,1997,Washington,18.6%,5.2%,26.9%,49.3%,"Washington
(47.522280000022135, -120.47001000026114)"
260,2001,Delaware,19%,6%,25.4%,49.5%,"Delaware
(39.00883000020451, -75.57774000040052)"
261,2006,Arkansas,18.8%,4.8%,25.1%,51.2%,"Arkansas
(34.748649999697875, -92.27448999971358)"
262,1996,Louisiana,21.9%,4%,21.5%,52.7%,"Louisiana
(31.31265999975932, -92.44567999993188)"
263,2008,Indiana,19.7%,6.3%,23%,51%,"Indiana
(39.76690999989677, -86.14996000035359)"
264,1997,Maryland,17.6%,2.9%,22.8%,56.8%,"Maryland
(39.29057999976732, -76.6092600004485)"
265,2007,Arkansas,17.3%,5.1%,23.7%,53.9%,"Arkansas
(34.748649999697875, -92.27448999971358)"
266,2008,Arkansas,17%,5.4%,26.3%,51.4%,"Arkansas
(34.748649999697875, -92.27448999971358)"
267,2009,Virginia,13.8%,5.2%,24.4%,56.5%,"Virginia
(37.54268000028196, -78.45789000012326)"
268,2004,South Carolina,18%,6.4%,21.9%,53.8%,"South Carolina
(33.99855000018255, -81.0452500001872)"
269,2001,Nebraska,15.8%,4.4%,22.3%,57.4%,"Nebraska
(41.6410400000961, -99.36572999973953)"
270,2003,Montana,14.8%,5.1%,28.4%,51.6%,"Montana
(47.06653000015956, -109.42441999998289)"
271,1996,Maine,22.6%,2.8%,27.8%,46.9%,"Maine
(45.25423000041434, -68.9850299999344)"
272,1996,Tennessee,25%,2.9%,19.9%,52.2%,"Tennessee
(35.68094000038087, -85.77449000011325)"
273,1997,New Jersey,16.6%,4.7%,26.2%,52.4%,"New Jersey
(40.13056999960594, -74.2736899996936)"
274,1999,Iowa,18.9%,4.6%,24.6%,51.9%,"Iowa
(42.469390000048634, -93.81649000001335)"
275,1997,Arkansas,24.8%,3.7%,20.2%,51.4%,"Arkansas
(34.748649999697875, -92.27448999971358)"
276,1998,Rhode Island,18.2%,4.4%,29%,48.4%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
277,2008,Maryland,10.6%,4.3%,24.2%,60.9%,"Maryland
(39.29057999976732, -76.6092600004485)"
278,2010,Ohio,17.1%,5.4%,24.6%,52.9%,"Ohio
(40.06020999969189, -82.40426000019869)"
279,2007,Rhode Island,11.8%,5.2%,28.4%,54.6%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
280,1995,Indiana,24.3%,2.7%,23%,50%,"Indiana
(39.76690999989677, -86.14996000035359)"
281,2007,Oklahoma,20%,5.8%,23.2%,51%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
282,1999,Rhode Island,17.8%,4.4%,25.6%,52.2%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
283,2009,Hawaii,10.4%,5%,26.9%,57.7%,"Hawaii
(21.304850000427336, -157.85774999956269)"
284,2005,Washington,12.5%,5%,27.3%,55.1%,"Washington
(47.522280000022135, -120.47001000026114)"
285,2003,Maryland,15.2%,4.9%,23.7%,56.2%,"Maryland
(39.29057999976732, -76.6092600004485)"
286,2000,Nevada,22%,7.1%,26.7%,44.3%,"Nevada
(39.49323999972637, -117.07183999971608)"
287,2001,New Jersey,15%,6.1%,26.2%,52.7%,"New Jersey
(40.13056999960594, -74.2736899996936)"
288,1995,North Dakota,20.1%,2.5%,24.2%,53.2%,"North Dakota
(47.475320000018144, -100.11841999998285)"
289,2006,Michigan,16.5%,5.8%,25.4%,52.2%,"Michigan
(44.661320000317914, -84.71438999959867)"
290,2006,Wyoming,16.4%,5.2%,24.9%,53.5%,"Wyoming
(43.23553999957147, -108.10982999975454)"
291,2001,Alabama,17.4%,6.5%,23.4%,52.8%,"Alabama
(32.840569999605975, -86.63186000013877)"
292,2003,Pennsylvania,20.2%,5.3%,25.2%,49.4%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
293,2004,Vermont,15%,5%,30.6%,49.4%,"Vermont
(43.625379999687425, -72.51764000028561)"
294,2004,Rhode Island,15.8%,5.5%,28.8%,49.9%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
295,1995,Georgia,18.4%,1.9%,18.1%,61.6%,"Georgia
(32.83967999993223, -83.62758000031658)"
296,2005,Illinois,14.2%,5.7%,24%,56.1%,"Illinois
(40.485010000411364, -88.99770999971656)"
297,1995,Montana,18.9%,2.2%,29.2%,49.8%,"Montana
(47.06653000015956, -109.42441999998289)"
298,2004,Wisconsin,16.5%,5.4%,24.3%,53.8%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
299,2007,Maryland,11.5%,5.6%,23.7%,59.3%,"Maryland
(39.29057999976732, -76.6092600004485)"
300,2007,Alabama,16.5%,6%,23.2%,54.3%,"Alabama
(32.840569999605975, -86.63186000013877)"
301,2006,Massachusetts,13%,4.7%,27.7%,54.5%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
302,2001,Oregon,15%,5.5%,28.7%,50.9%,"Oregon
(44.567449999917756, -120.15502999983448)"
303,2010,Illinois,11.5%,5.4%,23.6%,59.5%,"Illinois
(40.485010000411364, -88.99770999971656)"
304,2003,Oklahoma,20.3%,4.8%,22.1%,52.7%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
305,2000,New Hampshire,19.7%,5.6%,29.7%,45%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
306,2009,Maine,12.5%,4.7%,31.1%,51.6%,"Maine
(45.25423000041434, -68.9850299999344)"
307,2010,Connecticut,9.2%,4%,29.2%,57.6%,"Connecticut
(41.56265999995918, -72.6498400002157)"
308,2003,Texas,15.6%,6.5%,21.6%,56.3%,"Texas
(31.82724000022597, -99.42676999973554)"
309,2004,Illinois,15.4%,6.8%,21.5%,56.2%,"Illinois
(40.485010000411364, -88.99770999971656)"
310,2007,Illinois,13.7%,6.4%,23.5%,56.4%,"Illinois
(40.485010000411364, -88.99770999971656)"
311,1997,Missouri,24.6%,4%,21.6%,49.7%,"Missouri
(38.63578999960896, -92.5663000000448)"
312,1995,Louisiana,21.1%,4%,22.3%,52.7%,"Louisiana
(31.31265999975932, -92.44567999993188)"
313,2002,Ohio,21.4%,5.2%,24.7%,48.7%,"Ohio
(40.06020999969189, -82.40426000019869)"
314,2006,Mississippi,17.9%,7.2%,21.1%,53.8%,"Mississippi
(32.7455100000866, -89.53803000008429)"
315,2001,California,12.1%,5.1%,25.9%,56.9%,"California
(37.638300000444815, -120.99958999997835)"
316,2006,West Virginia,21.3%,4.5%,24.7%,49.6%,"West Virginia
(38.66550999958696, -80.71263999973604)"
317,2005,Pennsylvania,17.9%,5.7%,25.4%,51%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
318,2002,Illinois,17.8%,5.1%,22.9%,54.3%,"Illinois
(40.485010000411364, -88.99770999971656)"
319,1998,Illinois,17%,6.1%,25%,51.9%,"Illinois
(40.485010000411364, -88.99770999971656)"
320,2008,Minnesota,12.1%,5.5%,27.1%,55.4%,"Minnesota
(46.3556499998478, -94.79419999982997)"
321,2008,California,8.9%,5.1%,23.3%,62.7%,"California
(37.638300000444815, -120.99958999997835)"
322,2009,South Dakota,12.5%,5%,27.2%,55.3%,"South Dakota
(44.353130000049646, -100.37353000040906)"
323,2001,North Dakota,15.6%,6.5%,24.8%,53.1%,"North Dakota
(47.475320000018144, -100.11841999998285)"
324,2007,Alaska,15.6%,6.7%,27.1%,50.7%,"Alaska
(64.84507999974238, -147.72205999986895)"
325,1996,Ohio,25.7%,2.7%,21.4%,50.2%,"Ohio
(40.06020999969189, -82.40426000019869)"
326,2010,Maine,13.9%,4.3%,30.2%,51.6%,"Maine
(45.25423000041434, -68.9850299999344)"
327,2007,South Carolina,16.2%,5.7%,25%,53.1%,"South Carolina
(33.99855000018255, -81.0452500001872)"
328,1998,New Jersey,15.2%,3.9%,26.4%,54.5%,"New Jersey
(40.13056999960594, -74.2736899996936)"
329,1995,Oklahoma,20.2%,1.3%,17.4%,61.2%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
330,2000,New Jersey,14.8%,6.2%,22.4%,56.6%,"New Jersey
(40.13056999960594, -74.2736899996936)"
331,1996,Washington,19.1%,4.4%,26.8%,49.7%,"Washington
(47.522280000022135, -120.47001000026114)"
332,2007,Montana,14.8%,4.6%,26.6%,53.9%,"Montana
(47.06653000015956, -109.42441999998289)"
333,2003,Alabama,19.7%,5.7%,23.9%,50.8%,"Alabama
(32.840569999605975, -86.63186000013877)"
334,2005,Alabama,18.8%,6%,20.9%,54.3%,"Alabama
(32.840569999605975, -86.63186000013877)"
335,1999,California,12.5%,6.2%,26.4%,54.9%,"California
(37.638300000444815, -120.99958999997835)"
336,2007,Washington,12.2%,4.6%,26.2%,57%,"Washington
(47.522280000022135, -120.47001000026114)"
337,2001,Indiana,21.5%,5.9%,22.6%,50%,"Indiana
(39.76690999989677, -86.14996000035359)"
338,1998,Wyoming,19%,3.9%,25.2%,52%,"Wyoming
(43.23553999957147, -108.10982999975454)"
339,2009,California,8.1%,4.7%,23.2%,63.9%,"California
(37.638300000444815, -120.99958999997835)"
340,1996,Wyoming,20.1%,4.5%,25.1%,50.3%,"Wyoming
(43.23553999957147, -108.10982999975454)"
341,1999,Ohio,23.6%,4%,24%,48.4%,"Ohio
(40.06020999969189, -82.40426000019869)"
342,2009,New York,12.1%,5.9%,26.3%,55.7%,"New York
(42.82699999955048, -75.54396999981549)"
343,2008,Wisconsin,14.1%,5.7%,26.7%,53.5%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
344,1995,Kentucky,24.9%,2.7%,22.3%,50.1%,"Kentucky
(37.645969999815804, -84.77496999996538)"
345,1998,Hawaii,15.8%,3.7%,26.1%,54.4%,"Hawaii
(21.304850000427336, -157.85774999956269)"
346,2003,Wyoming,19.8%,4.8%,26.2%,49.1%,"Wyoming
(43.23553999957147, -108.10982999975454)"
347,2008,Ohio,15.5%,4.6%,25.4%,54.4%,"Ohio
(40.06020999969189, -82.40426000019869)"
348,2002,Michigan,19.3%,4.8%,27.1%,48.7%,"Michigan
(44.661320000317914, -84.71438999959867)"
349,2005,District of Columbia,11.6%,8.5%,21.5%,58.5%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
350,2003,Nebraska,16%,5.3%,24%,54.7%,"Nebraska
(41.6410400000961, -99.36572999973953)"
351,2008,North Dakota,13.3%,4.8%,25.4%,56.5%,"North Dakota
(47.475320000018144, -100.11841999998285)"
352,2000,Massachusetts,15.3%,4.7%,28.2%,51.9%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
353,2008,Wyoming,14.9%,4.5%,25.4%,55.2%,"Wyoming
(43.23553999957147, -108.10982999975454)"
354,1998,Nevada,23.6%,6.7%,24%,45.6%,"Nevada
(39.49323999972637, -117.07183999971608)"
355,1997,District of Columbia,11.8%,7%,15.8%,65.4%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
356,2010,Iowa,12.1%,4.1%,23.4%,60.4%,"Iowa
(42.469390000048634, -93.81649000001335)"
357,2006,Oregon,13.6%,4.8%,25.7%,55.8%,"Oregon
(44.567449999917756, -120.15502999983448)"
358,2006,New York,13.4%,4.9%,24.5%,57.3%,"New York
(42.82699999955048, -75.54396999981549)"
359,1997,Alabama,20.8%,3.9%,22%,53.3%,"Alabama
(32.840569999605975, -86.63186000013877)"
360,1996,Kentucky,27.9%,3.8%,23.2%,45.2%,"Kentucky
(37.645969999815804, -84.77496999996538)"
361,1996,Delaware,21%,3.3%,26.8%,49%,"Delaware
(39.00883000020451, -75.57774000040052)"
362,1995,Nebraska,19.4%,2.4%,25.7%,52.5%,"Nebraska
(41.6410400000961, -99.36572999973953)"
363,1998,North Carolina,20.5%,4.2%,23.4%,51.9%,"North Carolina
(35.46624999963797, -79.1593199999179)"
364,1995,Virginia,18.7%,2.7%,25.2%,53.5%,"Virginia
(37.54268000028196, -78.45789000012326)"
365,2002,Georgia,17.7%,5.6%,22.4%,54.3%,"Georgia
(32.83967999993223, -83.62758000031658)"
366,1997,Mississippi,19%,4.1%,21.3%,55.6%,"Mississippi
(32.7455100000866, -89.53803000008429)"
367,2003,District of Columbia,13.9%,8.1%,22.2%,55.8%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
368,2006,Nebraska,13.8%,4.8%,23.8%,57.5%,"Nebraska
(41.6410400000961, -99.36572999973953)"
369,1999,North Dakota,17%,5.1%,24.7%,53.1%,"North Dakota
(47.475320000018144, -100.11841999998285)"
370,2006,South Dakota,14.7%,5.6%,24.8%,54.8%,"South Dakota
(44.353130000049646, -100.37353000040906)"
371,2005,Texas,13.2%,6.8%,21%,59%,"Texas
(31.82724000022597, -99.42676999973554)"
372,1999,Arkansas,22.6%,4.6%,23.1%,49.7%,"Arkansas
(34.748649999697875, -92.27448999971358)"
373,2008,Massachusetts,11.7%,4.4%,28.1%,55.8%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
374,1999,Indiana,22.5%,4.5%,22%,51%,"Indiana
(39.76690999989677, -86.14996000035359)"
375,2008,Illinois,15.1%,6.2%,23.4%,55.3%,"Illinois
(40.485010000411364, -88.99770999971656)"
376,2004,Connecticut,13.2%,4.9%,30%,51.9%,"Connecticut
(41.56265999995918, -72.6498400002157)"
377,1999,Wyoming,19.1%,4.8%,24.9%,51.2%,"Wyoming
(43.23553999957147, -108.10982999975454)"
378,2003,South Carolina,19.6%,5.9%,23%,51.5%,"South Carolina
(33.99855000018255, -81.0452500001872)"
379,1998,Mississippi,19.1%,5%,21.9%,54%,"Mississippi
(32.7455100000866, -89.53803000008429)"
380,1999,Tennessee,21.9%,2.9%,20.7%,54.4%,"Tennessee
(35.68094000038087, -85.77449000011325)"
381,2004,Oklahoma,19.9%,6.2%,22.5%,51.4%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
382,2010,North Carolina,14.3%,5.4%,24.5%,55.8%,"North Carolina
(35.46624999963797, -79.1593199999179)"
383,1996,Oklahoma,21.5%,2.5%,18.4%,57.5%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
384,2006,District of Columbia,10.6%,7.3%,22.1%,60%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
385,2005,Iowa,16.1%,4.3%,24.8%,54.8%,"Iowa
(42.469390000048634, -93.81649000001335)"
386,2003,New Hampshire,17%,4.2%,31%,47.8%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
387,2010,Colorado,11.4%,4.6%,24.7%,59.3%,"Colorado
(38.842890000173554, -106.13314000041055)"
388,2007,Michigan,15.8%,5.4%,24.8%,54.1%,"Michigan
(44.661320000317914, -84.71438999959867)"
389,2007,Kansas,13.7%,4.2%,23.3%,58.8%,"Kansas
(38.34774000000118, -98.20077999969709)"
390,2010,Utah,6.4%,2.7%,14.3%,76.6%,"Utah
(39.36070000030492, -111.58712999994941)"
391,2000,Missouri,22.6%,4.6%,24.7%,48.1%,"Missouri
(38.63578999960896, -92.5663000000448)"
392,2003,Louisiana,20.4%,6.2%,20.7%,52.7%,"Louisiana
(31.31265999975932, -92.44567999993188)"
393,2009,Florida,12.8%,4.3%,27.6%,55.3%,"Florida
(28.932039999846268, -81.9289599999039)"
394,1997,Connecticut,17.2%,4.4%,29.1%,49.3%,"Connecticut
(41.56265999995918, -72.6498400002157)"
395,1997,Nebraska,18.5%,3.6%,22.7%,55.2%,"Nebraska
(41.6410400000961, -99.36572999973953)"
396,1997,South Dakota,18.8%,5.6%,25.8%,49.9%,"South Dakota
(44.353130000049646, -100.37353000040906)"
397,2006,Illinois,14.1%,6.4%,23.7%,55.8%,"Illinois
(40.485010000411364, -88.99770999971656)"
398,2004,Arkansas,19.4%,6.2%,24.7%,49.8%,"Arkansas
(34.748649999697875, -92.27448999971358)"
399,2000,Rhode Island,18.3%,5.1%,26.7%,49.9%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
400,2005,Colorado,13.5%,6.3%,24.8%,55.4%,"Colorado
(38.842890000173554, -106.13314000041055)"
401,2002,North Carolina,21.2%,5.1%,24.1%,49.7%,"North Carolina
(35.46624999963797, -79.1593199999179)"
402,1997,Tennessee,23.7%,3.3%,21.3%,51.7%,"Tennessee
(35.68094000038087, -85.77449000011325)"
403,1996,New Mexico,16.7%,6.2%,24.2%,53%,"New Mexico
(34.52088000011207, -106.24057999976702)"
404,1997,Illinois,17.8%,5.4%,25.8%,51%,"Illinois
(40.485010000411364, -88.99770999971656)"
405,2000,Florida,17.7%,5.5%,27.4%,49.4%,"Florida
(28.932039999846268, -81.9289599999039)"
406,1995,Maine,22.2%,2.5%,27.2%,48.1%,"Maine
(45.25423000041434, -68.9850299999344)"
407,2010,Tennessee,15.7%,4.4%,22.9%,57%,"Tennessee
(35.68094000038087, -85.77449000011325)"
408,1998,Delaware,20.7%,3.7%,24.5%,51%,"Delaware
(39.00883000020451, -75.57774000040052)"
409,2001,Wisconsin,18.2%,5.4%,28.7%,47.8%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
410,2002,Minnesota,16.2%,5.5%,26.8%,51.4%,"Minnesota
(46.3556499998478, -94.79419999982997)"
411,2010,Oklahoma,17.5%,6.2%,24.3%,52%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
412,1998,Minnesota,13.3%,4.7%,18.6%,63.4%,"Minnesota
(46.3556499998478, -94.79419999982997)"
413,2009,Alaska,14.7%,5.9%,28.1%,51.3%,"Alaska
(64.84507999974238, -147.72205999986895)"
414,2000,District of Columbia,13.9%,7%,22%,57.1%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
415,1995,Oregon,18.5%,3.2%,28.4%,49.9%,"Oregon
(44.567449999917756, -120.15502999983448)"
416,2002,Colorado,15.6%,4.7%,25.6%,54%,"Colorado
(38.842890000173554, -106.13314000041055)"
417,2003,Arizona,15.4%,5.5%,26.2%,53%,"Arizona
(34.86596999961597, -111.76380999973156)"
418,1996,New York,19.2%,4%,23.7%,53.1%,"New York
(42.82699999955048, -75.54396999981549)"
419,2000,Ohio,21.1%,5.1%,23.2%,50.6%,"Ohio
(40.06020999969189, -82.40426000019869)"
420,2001,Kansas,16.9%,5.4%,24.3%,53.5%,"Kansas
(38.34774000000118, -98.20077999969709)"
421,2006,Wisconsin,15.2%,5.6%,26%,53.2%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
422,1999,Virginia,17%,4.3%,25.3%,53.3%,"Virginia
(37.54268000028196, -78.45789000012326)"
423,2003,New Mexico,15.8%,6.2%,25.9%,52.1%,"New Mexico
(34.52088000011207, -106.24057999976702)"
424,2000,Arkansas,19.9%,5.2%,24.5%,50.4%,"Arkansas
(34.748649999697875, -92.27448999971358)"
425,2007,New Hampshire,15.1%,4.2%,30.3%,50.4%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
426,2008,Iowa,14.1%,4.6%,24.7%,56.6%,"Iowa
(42.469390000048634, -93.81649000001335)"
427,2001,Kentucky,26.2%,4.7%,23.6%,45.5%,"Kentucky
(37.645969999815804, -84.77496999996538)"
428,1999,Washington,17%,5.3%,26.8%,50.8%,"Washington
(47.522280000022135, -120.47001000026114)"
429,2010,Indiana,16.3%,5%,25.1%,53.7%,"Indiana
(39.76690999989677, -86.14996000035359)"
430,2010,Wyoming,14.9%,4.6%,24.6%,55.9%,"Wyoming
(43.23553999957147, -108.10982999975454)"
431,2008,Delaware,13.4%,4.4%,28.5%,53.7%,"Delaware
(39.00883000020451, -75.57774000040052)"
432,2003,Connecticut,13.9%,4.7%,31.2%,50.2%,"Connecticut
(41.56265999995918, -72.6498400002157)"
433,2003,New Jersey,14%,5.4%,26.3%,54.3%,"New Jersey
(40.13056999960594, -74.2736899996936)"
434,2009,Ohio,15.6%,4.7%,25.8%,53.8%,"Ohio
(40.06020999969189, -82.40426000019869)"
435,2006,Rhode Island,14.9%,4.3%,28.8%,52%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
436,1996,Pennsylvania,20.3%,4.2%,23.2%,52.3%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
437,1999,South Carolina,18%,5.6%,20.4%,56%,"South Carolina
(33.99855000018255, -81.0452500001872)"
438,1997,Vermont,19.5%,3.8%,29.1%,47.7%,"Vermont
(43.625379999687425, -72.51764000028561)"
439,1998,West Virginia,24.9%,3.1%,23.8%,48.3%,"West Virginia
(38.66550999958696, -80.71263999973604)"
440,1996,Arizona,19.9%,3.9%,25.1%,51.2%,"Arizona
(34.86596999961597, -111.76380999973156)"
441,1998,California,13.6%,5.6%,26.2%,54.6%,"California
(37.638300000444815, -120.99958999997835)"
442,1999,District of Columbia,13.4%,7.1%,16.1%,63.3%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
443,1998,New Hampshire,18.2%,5%,28.5%,48.2%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
444,2001,Alaska,19%,7.2%,26.9%,46.9%,"Alaska
(64.84507999974238, -147.72205999986895)"
445,1999,Nevada,24.3%,7.2%,29%,39.5%,"Nevada
(39.49323999972637, -117.07183999971608)"
446,1996,Montana,19.1%,2.6%,27%,51.3%,"Montana
(47.06653000015956, -109.42441999998289)"
447,2001,Maine,18.2%,5.7%,31.9%,44.2%,"Maine
(45.25423000041434, -68.9850299999344)"
448,2002,Florida,17.8%,4.2%,25.1%,52.9%,"Florida
(28.932039999846268, -81.9289599999039)"
449,2001,South Dakota,16.6%,5.8%,25.2%,52.5%,"South Dakota
(44.353130000049646, -100.37353000040906)"
450,2005,Massachusetts,13.5%,4.6%,27.5%,54.5%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
451,1997,Oklahoma,21.4%,3.2%,19.1%,56.3%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
452,2005,Ohio,17.6%,4.8%,25.8%,51.9%,"Ohio
(40.06020999969189, -82.40426000019869)"
453,2004,Pennsylvania,17.5%,5.3%,23.9%,53.4%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
454,1995,Washington,17.5%,2.4%,29.9%,50.2%,"Washington
(47.522280000022135, -120.47001000026114)"
455,2010,Florida,12%,5.2%,29.8%,53%,"Florida
(28.932039999846268, -81.9289599999039)"
456,2008,District of Columbia,9.3%,7%,22.5%,61.2%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
457,2008,Hawaii,11.8%,3.7%,25.4%,59.2%,"Hawaii
(21.304850000427336, -157.85774999956269)"
458,2010,West Virginia,23.2%,3.6%,24.4%,48.8%,"West Virginia
(38.66550999958696, -80.71263999973604)"
459,2008,Georgia,14.5%,5%,21.4%,59.1%,"Georgia
(32.83967999993223, -83.62758000031658)"
460,2002,Maine,19.6%,4%,33.4%,43.1%,"Maine
(45.25423000041434, -68.9850299999344)"
461,1996,Arkansas,21.9%,3.4%,18%,56.7%,"Arkansas
(34.748649999697875, -92.27448999971358)"
462,2003,Hawaii,14.1%,3.2%,24.1%,58.6%,"Hawaii
(21.304850000427336, -157.85774999956269)"
463,2007,Virginia,14.1%,4.4%,23.5%,58%,"Virginia
(37.54268000028196, -78.45789000012326)"
464,2007,South Dakota,14.2%,5.6%,24.3%,55.9%,"South Dakota
(44.353130000049646, -100.37353000040906)"
465,2006,Utah,7.1%,2.7%,16.6%,73.6%,"Utah
(39.36070000030492, -111.58712999994941)"
466,1997,Virginia,18.8%,5.6%,25.8%,49.8%,"Virginia
(37.54268000028196, -78.45789000012326)"
467,1995,Pennsylvania,20.4%,3.3%,28.3%,48%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
468,2001,Massachusetts,14.8%,4.7%,29.9%,50.6%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
469,1995,Minnesota,17.4%,2.9%,23.6%,56.1%,"Minnesota
(46.3556499998478, -94.79419999982997)"
470,1995,Arizona,20.3%,2.4%,25.6%,51.7%,"Arizona
(34.86596999961597, -111.76380999973156)"
471,2003,Colorado,13.8%,4.7%,27.2%,54.2%,"Colorado
(38.842890000173554, -106.13314000041055)"
472,1995,Florida,20.3%,2.7%,28.5%,48.5%,"Florida
(28.932039999846268, -81.9289599999039)"
473,2006,Nevada,15.6%,6.5%,25.6%,52.3%,"Nevada
(39.49323999972637, -117.07183999971608)"
474,2007,Delaware,15.1%,3.8%,26.1%,54.9%,"Delaware
(39.00883000020451, -75.57774000040052)"
475,2000,Arizona,13.5%,5.2%,21.7%,59.7%,"Arizona
(34.86596999961597, -111.76380999973156)"
476,2007,Massachusetts,12%,4.4%,28.5%,55.1%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
477,2005,California,9.8%,5.3%,23.3%,61.5%,"California
(37.638300000444815, -120.99958999997835)"
478,2004,Texas,13.6%,6.9%,20.2%,59.3%,"Texas
(31.82724000022597, -99.42676999973554)"
479,2001,West Virginia,23.5%,4.6%,24.7%,47.1%,"West Virginia
(38.66550999958696, -80.71263999973604)"
480,2008,Rhode Island,13.4%,4%,28.1%,54.5%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
481,2007,Nebraska,14.5%,5.5%,23.8%,56.2%,"Nebraska
(41.6410400000961, -99.36572999973953)"
482,2003,Illinois,17.1%,6.3%,24.4%,52.2%,"Illinois
(40.485010000411364, -88.99770999971656)"
483,2002,Wyoming,19.2%,4.4%,26.5%,49.8%,"Wyoming
(43.23553999957147, -108.10982999975454)"
484,1996,Missouri,22.6%,5.2%,24.7%,47.5%,"Missouri
(38.63578999960896, -92.5663000000448)"
485,1995,New York,19.1%,2.2%,25.3%,53.4%,"New York
(42.82699999955048, -75.54396999981549)"
486,1998,Indiana,20.7%,5.3%,26%,48%,"Indiana
(39.76690999989677, -86.14996000035359)"
487,2003,Kentucky,26.8%,4%,22.5%,46.7%,"Kentucky
(37.645969999815804, -84.77496999996538)"
488,1999,Connecticut,17.5%,5.3%,25.3%,51.9%,"Connecticut
(41.56265999995918, -72.6498400002157)"
489,1999,Michigan,19.5%,5.6%,23.6%,51.3%,"Michigan
(44.661320000317914, -84.71438999959867)"
490,2006,Indiana,18.6%,5.5%,23.3%,52.7%,"Indiana
(39.76690999989677, -86.14996000035359)"
491,2001,Iowa,17%,5.1%,24.6%,53.2%,"Iowa
(42.469390000048634, -93.81649000001335)"
492,2002,Montana,15.7%,5.5%,26.1%,52.7%,"Montana
(47.06653000015956, -109.42441999998289)"
493,2000,New York,15.9%,5.7%,25.6%,52.9%,"New York
(42.82699999955048, -75.54396999981549)"
494,1999,Pennsylvania,18.4%,4.7%,23.3%,53.6%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
495,1999,Georgia,18.3%,5.4%,22.5%,53.7%,"Georgia
(32.83967999993223, -83.62758000031658)"
496,2009,Idaho,12.3%,4%,22.1%,61.6%,"Idaho
(43.682590000228515, -114.36368000023168)"
497,1997,North Carolina,21%,4.9%,22.4%,51.8%,"North Carolina
(35.46624999963797, -79.1593199999179)"
498,2004,Alabama,18.7%,6.1%,20.9%,54.3%,"Alabama
(32.840569999605975, -86.63186000013877)"
499,1997,Nevada,23.4%,4.6%,25.4%,46.6%,"Nevada
(39.49323999972637, -117.07183999971608)"
500,1995,Colorado,17.9%,3.6%,27.4%,51.1%,"Colorado
(38.842890000173554, -106.13314000041055)"
501,1995,New Mexico,17.6%,3.1%,27.7%,51.7%,"New Mexico
(34.52088000011207, -106.24057999976702)"
502,1998,South Carolina,19.6%,5.1%,20.7%,54.6%,"South Carolina
(33.99855000018255, -81.0452500001872)"
503,2003,South Dakota,16.4%,6.3%,25.3%,52%,"South Dakota
(44.353130000049646, -100.37353000040906)"
504,2003,Oregon,15.8%,5.2%,26.7%,52.4%,"Oregon
(44.567449999917756, -120.15502999983448)"
